player,pWAR_final,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,pWAR,WAR_recent,balls_recent,pWAR_base,chg,WAR
Jamie Overton,1.51,CSK,Allrounder,1.5,1,1,retained,848,983,1070.973171,IPL+T20I,93,204,8,Death+Middle,pace bowler,Lower,1.61,1.96,551,1.46,0.15,1.41
Rinku Singh,1.5,KKR,Batter,13,1,0,retained,870,525,989.0853659,IPL+T20I,410,,6,,,Lower,1.54,1.72,460,1.46,0.08,1.46
Donovan Ferreira,1.495,RR,Allrounder,1,1,1,traded,446,420,541.2682927,IPL+T20I,145,12,7,Middle,spin bowler,Lower,1.54,1.76,289,1.45,0.09,1.45
Sherfane Rutherford,1.48,MI,Allrounder,2.6,1,1,traded,532,862,727.5268293,IPL+T20I,239,,4,,,Middle,1.5,1.49,293,1.51,-0.01,1.46
Deepak Chahar,1.22,MI,Bowler,9.25,1,0,retained,945,0,945,IPL only,32,464,9,Powerplay,pace bowler,Tail,1.41,1.22,449,1.49,-0.08,1.52
Travis Head,1.44,SRH,Batter,14,1,1,retained,1399,732,1565.039024,IPL+T20I,737,10,2,Middle,spin bowler,Opener,1.3,0.57,652,1.61,-0.31,1.58
Nitish Kumar Reddy,1.425,SRH,Allrounder,6,1,0,retained,1537,104,1560.590244,IPL+T20I,502,266,4,Middle+Powerplay,pace bowler,Middle,1.46,1.68,769,1.37,0.09,1.39
Lungi Ngidi,1.41,DC,Bowler,2,1,1,sold,727,1177,993.9780488,IPL+T20I,9,250,10,Death+Middle+Powerplay,pace bowler,Tail,1.42,1.25,468,1.49,-0.07,1.4
Finn Allen,1.405,KKR,WK-Batter,2,1,1,sold,306,873,504.0219512,IPL+T20I,102,,2,,,Opener,1.4,1.2,204,1.49,-0.09,1.41
Mohsin Khan,1.295,LSG,Bowler,4,0,0,retained,601,0,601,IPL only,5,348,11,Death+Middle+Powerplay,pace bowler,Tail,1.3,1.41,248,1.26,0.04,1.29
Ayush Badoni,1.29,LSG,Batter,4,0,0,retained,1031,0,1031,IPL only,515,28,5,Death+Middle,spin bowler,Middle,1.32,1.52,488,1.23,0.09,1.26
Sakib Hussain,1.275,SRH,Bowler,0.3,0,0,sold,543,0,543,IPL only,,181,,Death+Middle+Powerplay,pace bowler,,1.25,1.22,362,1.27,-0.02,1.3
Vaibhav Arora,1.27,KKR,Bowler,1.8,0,0,retained,1334,0,1334,IPL only,12,645,10,Death+Powerplay,pace bowler,Tail,1.21,1.02,677,1.29,-0.08,1.33
Mukesh Kumar,1.255,DC,Bowler,8,1,0,retained,1234,128,1263.034146,IPL+T20I,9,632,9,Death+Middle+Powerplay,pace bowler,Tail,1.26,1.33,593,1.23,0.03,1.25
Nehal Wadhera,1.215,PBKS,Batter,4.2,0,0,retained,783,0,783,IPL only,394,17,5,Death+Middle,spin bowler,Middle,1.21,1.27,372,1.19,0.02,1.22
Rishabh Pant,1.058,LSG,WK-Batter,27,1,0,retained,1234,169,1272.334146,IPL+T20I,670,,4,,,Middle,1.23,1.43,564,1.15,0.08,1.16
Kuldeep Yadav,1.185,DC,Bowler,13.25,1,0,retained,1627,760,1799.390244,IPL+T20I,78,776,10,Death+Middle,spin bowler,Tail,1.1,0.6,773,1.31,-0.21,1.27
Rohit Sharma,1.185,MI,Batter,16.3,1,0,retained,1249,236,1302.531707,IPL+T20I,695,,2,,,Opener,1.19,1.21,554,1.18,0.01,1.18
Urvil Patel,1.135,CSK,WK-Batter,0.3,0,0,retained,205,0,205,IPL only,79,,3,,,No3,1.05,0.73,126,1.19,-0.14,1.22
Dewald Brevis,1.125,CSK,Batter,2.2,1,1,retained,504,997,730.1487805,IPL+T20I,249,,5,,,Middle,1.13,0.93,255,1.21,-0.08,1.12
Devdutt Padikkal,1.125,RCB,Batter,2,1,0,retained,939,0,939,IPL only,403,,3,,,No3,1.24,1.83,536,0.99,0.25,1.01
Hardik Pandya,1.1,MI,Allrounder,16.35,1,0,retained,1766,2564,2347.590244,IPL+T20I,395,555,5,Death+Middle+Powerplay,pace bowler,Middle,1.22,1.28,816,1.2,0.02,0.98
Dhruv Jurel,1.08,RR,WK-Batter,14,1,0,retained,1173,32,1180.258537,IPL only,556,,5,,,Middle,1.14,1.45,617,1,0.14,1.02
Akeal Hosein,1.065,CSK,Bowler,2,1,1,sold,402,1960,846.5853659,IPL+T20I,2,132,8,Middle+Powerplay,spin bowler,Lower,1.15,1.15,268,1.15,0,0.98
Brijesh Sharma,1.04,RR,Bowler,0.3,0,0,sold,498,0,498,IPL only,4,162,10,Death+Middle+Powerplay,pace bowler,Tail,1.08,1.3,332,0.98,0.1,1
Marcus Stoinis,1.02,PBKS,Allrounder,11,1,1,retained,1117,1139,1375.358537,IPL+T20I,444,217,4,Middle+Powerplay,pace bowler,Middle,1.05,1.01,456,1.07,-0.02,0.99
Harpreet Brar,1.015,PBKS,Bowler,1.5,0,0,retained,646,0,646,IPL only,67,385,9,Middle,spin bowler,Tail,1,0.98,194,1.01,-0.01,1.03
Abdul Samad,0.985,LSG,Batter,4.2,0,0,retained,496,260,554.9756098,IPL+T20I,266,3,7,Death,spin bowler,Lower,0.98,0.93,227,1,-0.02,0.99
Sarfaraz Khan,0.95,CSK,Batter,0.75,1,0,sold,285,0,285,IPL only,95,,5,,,Middle,0.97,1.13,190,0.9,0.07,0.93
Aiden Markram,0.945,LSG,Batter,2,1,1,retained,1529,1502,1869.697561,IPL+T20I,643,115,2,Middle,spin bowler,Opener,1.07,1.4,771,0.93,0.14,0.82
Anukul Roy,0.9,KKR,Allrounder,0.4,0,0,retained,531,0,531,IPL only,31,179,8,Middle+Powerplay,spin bowler,Lower,0.93,1.11,321,0.85,0.08,0.87
Mustafizur Rahman,0.895,KKR,Bowler,9.2,1,1,sold,344,1296,637.9707317,IPL+T20I,1,276,11,Death+Middle+Powerplay,pace bowler,Tail,0.83,0.28,67,1.07,-0.24,0.96
Aniket Verma,0.855,SRH,Batter,0.3,0,0,retained,446,0,446,IPL only,196,,5,,,Middle,0.88,1.03,250,0.81,0.07,0.83
Pathum Nissanka,0.835,DC,Batter,4,1,1,sold,525,1837,941.6853659,IPL+T20I,175,,1,,,Opener,0.88,0.71,350,0.96,-0.08,0.79
David Miller,0.825,DC,Batter,2,1,1,sold,715,667,866.295122,IPL+T20I,371,,5,,,Middle,0.86,0.92,344,0.84,0.02,0.79
Prasidh Krishna,0.81,GT,Bowler,9.5,1,0,retained,1230,0,1230,IPL only,,528,,Death+Middle+Powerplay,pace bowler,,0.78,0.69,702,0.82,-0.04,0.84
Will Jacks,0.88,MI,Allrounder,5.25,1,1,retained,912,1154,1173.760976,IPL+T20I,344,169,3,Middle+Powerplay,spin bowler,No3,0.7,0.05,399,0.98,-0.28,0.88
Kartik Tyagi,0.76,KKR,Bowler,0.3,0,0,sold,690,0,690,IPL only,9,237,9,Death+Middle+Powerplay,pace bowler,Tail,0.79,0.99,444,0.71,0.08,0.73
Nuwan Thushara,0.735,RCB,Bowler,1.6,1,1,retained,208,812,392.1853659,IPL+T20I,,183,,Death+Powerplay,pace bowler,,0.65,0.12,25,0.88,-0.23,0.82
Rovman Powell,0.73,KKR,Batter,1.5,1,1,retained,348,1213,623.1439024,IPL+T20I,163,,6,,,Lower,0.77,0.73,185,0.79,-0.02,0.69
Maheesh Theekshana,0.725,,Bowler,2,1,1,unsold,682,1951,1124.543902,IPL+T20I,27,374,9,Middle+Powerplay,spin bowler,Tail,0.71,0.28,281,0.89,-0.18,0.74
Ajinkya Rahane,0.685,KKR,Batter,1.5,1,0,retained,1219,0,1219,IPL only,625,,3,,,No3,0.79,1.29,594,0.57,0.22,0.58
Jitesh Sharma,0.685,RCB,WK-Batter,11,1,0,retained,651,100,673.6829268,IPL+T20I,361,,6,,,Lower,0.7,0.78,290,0.67,0.03,0.67
Jonny Bairstow,0.685,,WK-Batter,1,1,1,unsold,287,116,313.3121951,IPL+T20I,241,,2,,,Opener,0.63,0.38,46,0.74,-0.11,0.74
Azmatullah Omarzai,0.685,PBKS,Allrounder,2.4,1,1,retained,566,1544,916.2243902,IPL+T20I,74,289,5,Death+Middle+Powerplay,pace bowler,Middle,0.69,0.4,203,0.81,-0.12,0.68
Sandeep Sharma,0.675,RR,Bowler,4,0,0,retained,978,0,978,IPL only,5,548,11,Death+Middle+Powerplay,pace bowler,Tail,0.54,-0.03,425,0.79,-0.25,0.81
Tushar Deshpande,0.615,RR,Bowler,6.5,1,0,retained,1093,36,1101.165854,IPL only,23,602,10,Death+Middle+Powerplay,pace bowler,Tail,0.57,0.37,468,0.65,-0.08,0.66
Shimron Hetmyer,0.615,RR,Batter,11,1,1,retained,604,983,826.9731707,IPL+T20I,302,,6,,,Lower,0.65,0.58,302,0.68,-0.03,0.58
Corbin Bosch,0.605,MI,Allrounder,0.75,1,1,retained,343,1315,641.2804878,IPL+T20I,41,98,8,Death+Middle,pace bowler,Lower,0.63,0.46,204,0.7,-0.07,0.58
Mukul Choudhary,0.595,LSG,WK-Batter,2.6,0,0,sold,321,0,321,IPL only,107,,7,,,Lower,0.65,0.93,214,0.53,0.12,0.54
Yuzvendra Chahal,0.59,PBKS,Bowler,18,1,0,retained,1438,0,1438,IPL only,,802,,Death+Middle,spin bowler,,0.64,0.9,636,0.53,0.11,0.54
Marco Jansen,0.575,PBKS,Allrounder,7,1,1,retained,1593,1286,1884.702439,IPL+T20I,114,583,8,Death+Middle+Powerplay,pace bowler,Lower,0.66,0.79,896,0.6,0.06,0.49
Jaydev Unadkat,0.555,SRH,Bowler,1,1,0,retained,739,0,739,IPL only,29,407,10,Death+Middle+Powerplay,pace bowler,Tail,0.55,0.54,303,0.55,0,0.56
Harshit Rana,0.53,KKR,Bowler,4,1,0,retained,891,525,1010.085366,IPL+T20I,53,519,9,Death+Middle+Powerplay,pace bowler,Tail,0.54,0.51,319,0.55,-0.01,0.52
Vipraj Nigam,0.53,DC,Bowler,0.5,0,0,retained,829,0,829,IPL only,89,293,7,Middle+Powerplay,spin bowler,Lower,0.53,0.55,447,0.52,0.01,0.53
AM Ghazanfar,0.495,MI,Bowler,4.8,1,1,retained,573,136,603.8487805,IPL+T20I,,191,,Death+Middle+Powerplay,spin bowler,,0.56,0.85,382,0.43,0.13,0.43
Jacob Duffy,0.455,RCB,Bowler,2,1,1,sold,219,1567,574.4414634,IPL+T20I,,73,,Death+Middle+Powerplay,pace bowler,,0.5,0.33,146,0.58,-0.08,0.41
Daryl Mitchell,0.445,,Allrounder,2,1,1,unsold,259,989,483.3341463,IPL+T20I,223,36,3,Middle,pace bowler,No3,0.4,0,,0.57,-0.17,0.49
Shubham Dubey,0.435,RR,Batter,0.8,0,0,retained,280,0,280,IPL only,128,,7,,,Lower,0.44,0.49,152,0.42,0.02,0.43
Suyash Sharma,0.435,RCB,Bowler,2.6,0,0,retained,1233,0,1233,IPL only,,527,,Middle,spin bowler,,0.52,0.9,706,0.35,0.17,0.35
MS Dhoni,-0.015,CSK,WK-Batter,4,0,0,retained,363,0,363,IPL only,218,,8,,,Lower,0.39,0.3,145,0.43,-0.04,0.44
Venkatesh Iyer,0.395,RCB,Allrounder,7,1,0,sold,533,0,533,IPL only,365,6,4,Middle,pace bowler,Middle,0.4,0.41,162,0.39,0.01,0.39
Kamindu Mendis,0.39,SRH,Allrounder,0.75,1,1,retained,222,954,438.395122,IPL+T20I,69,42,5,Middle,spin bowler,Middle,0.39,0.24,111,0.46,-0.07,0.39
Matheesha Pathirana,0.385,KKR,Bowler,18,1,1,sold,636,863,831.7536585,IPL+T20I,,384,,Death+Middle,pace bowler,,0.29,-0.28,252,0.54,-0.25,0.48
Rahul Tewatia,0.37,GT,Allrounder,4,0,0,retained,457,0,457,IPL only,258,,6,,,Lower,0.38,0.45,199,0.35,0.03,0.36
Abishek Porel,0.355,DC,WK-Batter,4,0,0,retained,732,0,732,IPL only,449,,3,,,No3,0.31,0.12,283,0.39,-0.08,0.4
Ruturaj Gaikwad,0.58,CSK,Batter,18,1,0,retained,1283,84,1302.053659,IPL only,730,,2,,,Opener,0.29,0.09,553,0.37,-0.08,0.37
Mitchell Starc,0.49,DC,Bowler,11.75,1,1,retained,1020,151,1054.25122,IPL+T20I,23,572,9,Death+Powerplay,pace bowler,Tail,0.31,0.24,425,0.34,-0.03,0.33
Devon Conway,0.32,,Batter,2,1,1,unsold,238,620,378.6341463,IPL+T20I,119,,2,,,Opener,0.34,0.35,119,0.34,0,0.3
Yash Raj Punja,0.305,RR,Bowler,0.3,0,0,sold,216,0,216,IPL only,,72,,Middle,spin bowler,,0.3,0.3,144,0.3,0,0.31
Rachin Ravindra,0.12,KKR,Allrounder,2,1,1,sold,448,1303,743.5585366,IPL+T20I,287,12,1,Middle,spin bowler,Opener,0.3,-0.02,149,0.43,-0.13,0.31
Ashwani Kumar,0.295,MI,Batter,0.3,0,0,retained,448,0,448,IPL only,6,185,11,Death+Middle+Powerplay,pace bowler,Tail,0.36,0.67,257,0.22,0.14,0.23
Manish Pandey,0.295,KKR,Batter,0.75,1,0,retained,161,0,161,IPL only,96,,7,,,Lower,0.3,0.33,65,0.28,0.02,0.29
Yash Dayal,0.28,RCB,Bowler,5,0,0,retained,916,0,916,IPL only,8,602,10,Death+Middle+Powerplay,pace bowler,Tail,0.24,0.06,306,0.31,-0.07,0.32
Swapnil Singh,0.275,RCB,Bowler,0.5,0,0,retained,112,0,112,IPL only,21,91,8,Middle+Powerplay,spin bowler,Lower,0.22,0,,0.32,-0.1,0.33
Nathan Ellis,0.26,CSK,Bowler,2,1,1,retained,72,954,288.395122,T20I only,,48,,Death+Powerplay,pace bowler,,0.26,0.03,24,0.36,-0.1,0.26
Nitish Rana,0.255,DC,Batter,4.2,1,0,traded,825,0,825,IPL only,307,36,3,Middle+Powerplay,mixture/unknown,No3,0.33,0.67,482,0.18,0.15,0.18
Nishant Sindhu,0.25,GT,Allrounder,0.3,0,0,retained,75,0,75,thin,25,,4,,,Middle,0.25,0.27,50,0.24,0.01,0.25
Jake Fraser-McGurk,0.24,,Batter,2,1,1,unsold,245,93,266.095122,IPL only,193,,2,,,Opener,0.08,-0.64,52,0.39,-0.31,0.4
Raghu Sharma,0.23,MI,Bowler,0.3,0,0,retained,144,0,144,IPL only,,48,,Middle,spin bowler,,0.24,0.31,96,0.21,0.03,0.22
Praful Hinge,0.21,SRH,Bowler,0.3,0,0,sold,375,0,375,IPL only,9,116,10,Death+Middle+Powerplay,pace bowler,Tail,0.32,0.83,250,0.1,0.22,0.1
Rahmanullah Gurbaz,0.21,,WK-Batter,1.5,1,1,unsold,152,1243,433.9487805,IPL+T20I,99,,1,,,Opener,0.21,-0.02,53,0.31,-0.1,0.21
Salil Arora,0.215,SRH,WK-Batter,1.5,0,0,sold,216,0,216,IPL only,72,,6,,,Lower,0.23,0.36,144,0.17,0.06,0.17
Vijay Shankar,0.19,,Allrounder,0.3,0,0,unsold,254,0,254,IPL only,163,,4,,,Middle,0.2,0.25,91,0.18,0.02,0.18
Mukesh Choudhary,0.185,CSK,Bowler,0.3,0,0,retained,385,0,385,IPL only,,145,,Death+Powerplay,pace bowler,,0.23,0.43,240,0.14,0.09,0.14
Taskin Ahmed,0.175,,Bowler,0.75,1,1,unsold,0,1094,248.1512195,T20I only,,,,,,,0.18,0,,0.26,-0.08,0.17
Manimaran Siddharth,0.17,LSG,Bowler,0.75,0,0,retained,411,0,411,IPL only,,189,,Middle+Powerplay,spin bowler,,0.16,0.1,222,0.18,-0.02,0.18
Karun Nair,0.17,DC,Batter,0.5,1,0,retained,284,0,284,IPL only,133,,2,,,Opener,0.15,0.09,151,0.18,-0.03,0.19
Sediqullah Atal,0.17,,Batter,0.75,1,1,unsold,32,864,227.9804878,T20I only,16,,4,,,Middle,0.18,0.06,16,0.23,-0.05,0.16
Ishant Sharma,0.155,GT,Bowler,0.75,0,0,retained,390,0,390,IPL only,7,273,11,Death+Middle+Powerplay,pace bowler,Tail,0.1,-0.14,110,0.2,-0.1,0.21
Karn Sharma,0.186,,Bowler,0.5,0,0,unsold,341,0,341,IPL only,16,234,9,Middle,spin bowler,Tail,0.19,0.36,91,0.12,0.07,0.12
Himmat Singh,0.145,LSG,Batter,0.3,0,0,retained,207,0,207,IPL only,69,,7,,,Lower,0.17,0.3,138,0.11,0.06,0.12
Nandre Burger,0.14,RR,Bowler,3.5,1,1,retained,705,325,778.7195122,IPL+T20I,5,298,11,Death+Middle+Powerplay,pace bowler,Tail,0.08,-0.25,402,0.22,-0.14,0.2
Michael Bracewell,0.125,,Allrounder,2,1,1,unsold,0,945,214.3536585,T20I only,,,,,,,0.13,0,,0.19,-0.06,0.12
Vignesh Puthur,0.125,RR,Bowler,0.3,0,0,sold,144,0,144,IPL only,,72,,Death+Middle,spin bowler,,0.13,0.16,72,0.12,0.01,0.12
Arshad Khan,0.12,GT,Bowler,1.3,0,0,retained,608,0,608,IPL only,78,250,8,Death+Middle+Powerplay,pace bowler,Lower,0.09,-0.04,280,0.15,-0.06,0.15
