display_name,full_name,gender,age,date_of_birth,bowling_style,position_name,country_name
Graham Manou,Graham Allan Manou,M,47,1979-04-23T00:00Z,,Wicketkeeper batter,Australia
Daniel Marsh,Daniel James Marsh,M,52,1973-06-14T00:00Z,Slow left-arm orthodox,Unknown,Australia
Brad Hogg,George Bradley Hogg,M,55,1971-02-06T00:00Z,Left-arm wrist-spin,Allrounder,Australia
Ken MacLeay,Kenneth Hervey MacLeay,M,67,1959-04-02T00:00Z,Right-arm medium,Unknown,Australia
Jimmy Maher,James Patrick Maher,M,52,1974-02-27T00:00Z,Right-arm medium,Opening batter,Australia
Geoff Marsh,Geoffrey Robert Marsh,M,67,1958-12-31T00:00Z,,Opening batter,Australia
Matt Mason,Matthew Sean Mason,M,52,1974-03-20T00:00Z,Right-arm fast-medium,Unknown,Australia
Tim May,Timothy Brian Alexander May,M,64,1962-01-26T00:00Z,Right-arm offbreak,Bowler,Australia
Scott Coyte,Scott James Coyte,M,41,1985-03-07T00:00Z,Right-arm fast-medium,Bowler,Australia
Damien Martyn,Damien Richard Martyn,M,54,1971-10-21T00:00Z,Right-arm medium,Top-order batter,Australia
Greg Matthews,Gregory Richard John Matthews,M,66,1959-12-15T00:00Z,Right-arm offbreak,Allrounder,Australia
Rick McCosker,Richard Bede McCosker,M,79,1946-12-11T00:00Z,Legbreak,Top-order batter,Australia
Jeff Moss,Jeffrey Kenneth Moss,M,78,1947-06-29T00:00Z,,Unknown,Australia
Bob Massie,Robert Arnold Lockyer Massie,M,79,1947-04-14T00:00Z,Right-arm medium-fast,Unknown,Australia
Craig McDermott,Craig John McDermott,M,61,1965-04-14T00:00Z,Right-arm fast,Bowler,Australia
Tom Moody,Thomas Masson Moody,M,60,1965-10-02T00:00Z,Right-arm medium,Top-order batter,Australia
Graham McKenzie,Graham Douglas McKenzie,M,84,1941-06-24T00:00Z,Right-arm fast,Bowler,Australia
Glenn McGrath,Glenn Donald McGrath,M,56,1970-02-09T00:00Z,Right-arm fast-medium,Bowler,Australia
Andrew McDonald,Andrew Barry McDonald,M,44,1981-06-05T00:00Z,Right-arm fast-medium,Allrounder,Australia
Darren McNees,Darren Alexander McNees,M,46,1979-06-14T00:00Z,Right-arm fast-medium,Unknown,Australia
Scott Meuleman,Scott William Meuleman,M,45,1980-07-17T00:00Z,Legbreak googly,Opening batter,Australia
Shaun Marsh,Shaun Edward Marsh,M,42,1983-07-09T00:00Z,Slow left-arm orthodox,Top-order batter,Australia
Andrew Michael,Andrew Joseph Michael,M,40,1985-09-24T00:00Z,Right-arm medium,Unknown,Samoa
Grant Lambert,Grant Michael Lambert,M,48,1977-08-05T00:00Z,Right-arm fast-medium,Allrounder,Australia
Matthew Nicholson,Matthew James Nicholson,M,51,1974-10-02T00:00Z,Right-arm fast-medium,Unknown,Australia
Brett Lee,Brett Lee,M,49,1976-11-08T00:00Z,Right-arm fast,Bowler,Australia
Darren Lehmann,Darren Scott Lehmann,M,56,1970-02-05T00:00Z,Slow left-arm orthodox,Top-order batter,Australia
Stuart MacGill,Stuart Charles Glyndwr MacGill,M,55,1971-02-25T00:00Z,Legbreak googly,Bowler,Australia
Clint McKay,Clinton James McKay,M,43,1983-02-20T00:00Z,Right-arm fast-medium,Bowler,Australia
Ashley Mallett,Ashley Alexander Mallett,M,76,1945-07-13T00:00Z,Right-arm offbreak,Bowler,Australia
Marcus North,Marcus James North,M,46,1979-07-28T00:00Z,Right-arm offbreak,Middle-order batter,Australia
Aaron Nye,Aaron James Nye,M,47,1978-11-09T00:00Z,Right-arm medium,Unknown,Australia
John Maclean,John Alexander Maclean,M,80,1946-04-27T00:00Z,,Unknown,Australia
Simon O'Donnell,Simon Patrick O'Donnell,M,63,1963-01-26T00:00Z,Right-arm fast-medium,Bowling allrounder,Australia
John Maguire,John Norman Maguire,M,69,1956-09-15T00:00Z,Right-arm fast-medium,Unknown,Australia
Rod McCurdy,Rodney John McCurdy,M,66,1959-12-30T00:00Z,Right-arm fast-medium,Unknown,Australia
Aaron O'Brien,Aaron Warren O'Brien,M,44,1981-10-02T00:00Z,Slow left-arm orthodox,Unknown,Australia
Steve Magoffin,Steven James Magoffin,M,46,1979-12-17T00:00Z,Right-arm fast-medium,Bowler,Australia
Jon Moss,Jonathan Moss,M,51,1975-05-04T00:00Z,Right-arm medium,Middle-order batter,Australia
Len Pascoe,Leonard Stephen Pascoe,M,76,1950-02-13T00:00Z,Right-arm fast,Bowler,Australia
Wayne Phillips,Wayne Bentley Phillips,M,68,1958-03-01T00:00Z,,Wicketkeeper batter,Australia
Bryce McGain,Bryce Edward McGain,M,54,1972-03-25T00:00Z,Legbreak googly,Bowler,Australia
Kerry O'Keeffe,Kerry James O'Keeffe,M,76,1949-11-25T00:00Z,Legbreak googly,Unknown,Australia
Cameron Merchant,Cameron James Merchant,M,42,1984-01-04T00:00Z,Right-arm offbreak,Unknown,New Zealand
Brendan Nash,Brendan Paul Nash,M,48,1977-12-14T00:00Z,Left-arm medium,Middle-order batter,West Indies
Craig Philipson,Craig Andrew Philipson,M,43,1982-11-18T00:00Z,Right-arm medium,Unknown,Australia
Steve O'Keefe,Stephen Norman John O'Keefe,M,41,1984-12-09T00:00Z,Slow left-arm orthodox,Allrounder,Australia
Rhett Lockyear,Rhett John Gaven Lockyear,M,43,1983-02-28T00:00Z,Right-arm medium,Unknown,Australia
Tim Paine,Timothy David Paine,M,41,1984-12-08T00:00Z,Right-arm medium,Wicketkeeper batter,Australia
Daniel Payne,Daniel Martin Payne,M,47,1978-10-27T00:00Z,,Unknown,Australia
Graeme Porter,Graeme David Porter,M,71,1955-03-18T00:00Z,Right-arm medium,Unknown,Australia
Ricky Ponting,Ricky Thomas Ponting,M,51,1974-12-19T00:00Z,Right-arm medium,Top-order batter,Australia
Stephen Phillips,Stephen Justin Phillips,M,45,1980-05-30T00:00Z,,Unknown,Australia
Adam Polkinghorne,Adam William Polkinghorne,M,50,1975-08-23T00:00Z,Right-arm fast-medium,Unknown,Australia
Gary Putland,Gary David Putland,M,40,1986-02-10T00:00Z,Left-arm fast-medium,Unknown,Australia
Peter Nevill,Peter Michael Nevill,M,40,1985-10-13T00:00Z,,Wicketkeeper,Australia
Carl Rackemann,Carl Gray Rackemann,M,65,1960-06-03T00:00Z,Right-arm fast,Bowler,Australia
Bruce Reid,Bruce Anthony Reid,M,63,1963-03-14T00:00Z,Left-arm fast-medium,Bowler,Australia
Paul Reiffel,Paul Ronald Reiffel,M,60,1966-04-19T00:00Z,Right-arm fast-medium,Bowler,Australia
Ashley Noffke,Ashley Allan Noffke,M,49,1977-04-30T00:00Z,Right-arm fast-medium,Allrounder,Australia
Greg Ritchie,Gregory Michael Ritchie,M,66,1960-01-23T00:00Z,Right-arm medium,Middle-order batter,Australia
Steve Rixon,Stephen John Rixon,M,72,1954-02-25T00:00Z,,Unknown,Australia
Clinton Perren,Clinton Terrence Perren,M,51,1975-02-22T00:00Z,Right-arm medium,Unknown,Australia
Ian Redpath,Ian Ritchie Redpath,M,83,1941-05-11T00:00Z,Right-arm medium,Opening batter,Australia
Paul Rofe,Paul Cameron Rofe,M,45,1981-01-16T00:00Z,Right-arm fast-medium,Unknown,Australia
Richie Robinson,Richard Daryl Robinson,M,79,1946-06-08T00:00Z,,Unknown,Australia
Hayden Patrizi,Hayden Peter Patrizi Dell’Agnello,M,40,1985-10-01T00:00Z,,Unknown,Italy
Steve Paulsen,Steven James Paulsen,M,44,1981-09-03T00:00Z,Legbreak googly,Unknown,Australia
Simon Roberts,Simon Christopher Roberts,M,40,1985-11-13T00:00Z,Legbreak,Unknown,Australia
Nathan Reardon,Nathan Jon Reardon,M,41,1984-11-08T00:00Z,Right-arm medium,Middle-order batter,Australia
Wes Robinson,Wesley Michael Robinson,M,45,1980-12-26T00:00Z,Left-arm medium,Unknown,Australia
Gavin Robertson,Gavin Ron Robertson,M,59,1966-05-28T00:00Z,Right-arm offbreak,Unknown,Australia
Michael Slater,Michael Jonathon Slater,M,56,1970-02-21T00:00Z,Right-arm medium,Opening batter,Australia
Dirk Nannes,Dirk Peter Nannes,M,49,1976-05-16T00:00Z,Left-arm fast,Bowler,Australia
Drew Porter,Drew Nathan Porter,M,40,1985-09-07T00:00Z,Right-arm medium,Unknown,Australia
Chris Rogers,Christopher John Llewellyn Rogers,M,48,1977-08-31T00:00Z,Legbreak googly,Opening batter,Australia
John Rogers,John William Rogers,M,39,1987-04-11T00:00Z,Left-arm medium,Unknown,Australia
Jamie Siddons,James Darren Siddons,M,62,1964-04-25T00:00Z,Legbreak googly,Unknown,Australia
Bob Simpson,Robert Baddeley Simpson,M,89,1936-02-03T00:00Z,Legbreak googly,Batting allrounder,Australia
Ben Rohrer,Ben James Rohrer,M,45,1981-03-26T00:00Z,,Middle-order batter,Australia
Keith Stackpole,Keith Raymond Stackpole,M,84,1940-07-10T00:00Z,Legbreak,Middle-order batter,Australia
Grant Sullivan,Grant James Sullivan,M,42,1984-03-07T00:00Z,Right-arm fast-medium,Unknown,Australia
Daniel Smith,Daniel Lindsay Richard Smith,M,44,1982-03-17T00:00Z,,Wicketkeeper batter,Australia
Andrew Robinson,Andrew William Robinson,M,44,1981-06-10T00:00Z,Right-arm medium,Unknown,Australia
Steve Smith,Steven Barry Smith,M,64,1961-10-18T00:00Z,,Opening batter,Australia
Craig Serjeant,Craig Stanton Serjeant,M,74,1951-11-01T00:00Z,,Unknown,Australia
Anthony Stuart,Anthony Mark Stuart,M,56,1970-01-02T00:00Z,Right-arm fast-medium,Unknown,Australia
Chris Swan,Christopher Richard Swan,M,47,1978-08-10T00:00Z,Right-arm fast-medium,Bowler,Australia
Mark Taylor,Mark Anthony Taylor,M,61,1964-10-27T00:00Z,Right-arm medium,Opening batter,Australia
Nathan Rimmington,Nathan John Rimmington,M,43,1982-11-11T00:00Z,Right-arm fast-medium,Bowler,Australia
Alan Thomson,Alan Lloyd Thomson,M,76,1945-12-02T00:00Z,Right-arm fast-medium,Unknown,Australia
Peter Taylor,Peter Laurence Taylor,M,69,1956-08-22T00:00Z,Right-arm offbreak,Bowling allrounder,Australia
Peter Siddle,Peter Matthew Siddle,M,41,1984-11-25T00:00Z,Right-arm fast-medium,Bowler,Australia
Luke Ronchi,Luke Ronchi,M,45,1981-04-23T00:00Z,,Wicketkeeper batter,New Zealand
Peter Toohey,Peter Michael Toohey,M,72,1954-04-20T00:00Z,,Unknown,Australia
Jeff Thomson,Jeffrey Robert Thomson,M,75,1950-08-16T00:00Z,Right-arm fast,Bowler,Australia
Craig Simmons,Craig Joseph Simmons,M,43,1982-12-01T00:00Z,Left-arm medium,Opening batter,Australia
Chris Simpson,Christopher Patrick Simpson,M,44,1982-01-09T00:00Z,Right-arm offbreak,Allrounder,Australia
Ken Skewes,Kenneth James Skewes,M,41,1984-11-30T00:00Z,Left-arm fast-medium,Unknown,Australia
Shannon Tubb,Shannon Ben Tubb,M,45,1980-05-11T00:00Z,Left-arm wrist-spin,Unknown,Australia
Max Walker,Maxwell Henry Norman Walker,M,68,1948-09-12T00:00Z,Right-arm fast-medium,Bowler,Australia
Dominic Thornely,Dominic John Thornely,M,47,1978-10-01T00:00Z,Right-arm medium,Top-order batter,Australia
Carl Sandri,Carl Stephen Sandri,M,42,1983-07-11T00:00Z,Right-arm offbreak,Unknown,Australia
Glenn Trimble,Glenn Samuel Trimble,M,63,1963-01-01T00:00Z,,Unknown,Australia
