player,salary,team,country,season,role,type
M Shahrukh Khan,₹9 Cr,PBKS,🇮🇳 India,2023,Batter,Retention
Washington Sundar,₹8.75 Cr,SRH,🇮🇳 India,2023,All-rounder,Retention
Shimron Hetmyer,₹8.5 Cr,RR,🇬🇾 West Indies (Guyana),2023,Batter,Retention
Rahul Tripathi,₹8.5 Cr,SRH,🇮🇳 India,2023,Batter,Retention
Krunal Pandya,₹8.25 Cr,LSG,🇮🇳 India,2023,All-rounder,Retention
Tim David,₹8.25 Cr,MI,🇸🇬 Singapore,2023,Batter,Retention
Shikhar Dhawan,₹8.25 Cr,PBKS,🇮🇳 India,2023,Batter,Retention
Mayank Agarwal,₹8.25 Cr,SRH,🇮🇳 India,2023,Batter,Retention
Moeen Ali,₹8 Cr,CSK,🌍 Overseas,2023,All-rounder,Retention
Shubman Gill,₹8 Cr,GT,🇮🇳 India,2023,Batter,Retention
Venkatesh Iyer,₹8 Cr,KKR,🇮🇳 India,2023,All-rounder,Retention
Nitish Rana,₹8 Cr,KKR,🇮🇳 India,2023,Batter,Retention
Varun Chakravarthy,₹8 Cr,KKR,🇮🇳 India,2023,Bowler,Retention
Jofra Archer,₹8 Cr,MI,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2023,Bowler,Retention
Suryakumar Yadav,₹8 Cr,MI,🇮🇳 India,2023,Batter,Retention
Trent Boult,₹8 Cr,RR,🇳🇿 New Zealand,2023,Bowler,Retention
Josh Hazlewood,₹7.75 Cr,RCB,🇦🇺 Australia,2023,Bowler,Auction
Devdutt Padikkal,₹7.75 Cr,RR,🇮🇳 India,2023,Batter,Retention
Prithvi Shaw,₹7.5 Cr,DC,🇮🇳 India,2023,Batter,Retention
Mark Wood,₹7.5 Cr,LSG,🌍 Overseas,2023,Bowler,Auction
Faf du Plessis,₹7 Cr,RCB,🇿🇦 South Africa,2023,Batter,Retention
Mohammed Siraj,₹7 Cr,RCB,🇮🇳 India,2023,Bowler,Retention
Ambati Rayudu,₹6.75 Cr,CSK,🇮🇳 India,2023,Batter,Retention
Quinton de Kock,₹6.75 Cr,LSG,🌍 Overseas,2023,WK-Batter,Retention
Jonny Bairstow,₹6.75 Cr,PBKS,🌍 Overseas,2023,WK-Batter,Retention
Mitchell Marsh,₹6.5 Cr,DC,🇦🇺 Australia,2023,All-rounder,Retention
Anrich Nortje,₹6.5 Cr,DC,🇿🇦 South Africa,2023,Bowler,Retention
Yuzvendra Chahal,₹6.5 Cr,RR,🇮🇳 India,2023,Bowler,Retention
Abhishek Sharma,₹6.5 Cr,SRH,🇮🇳 India,2023,Batter,Retention
David Warner,₹6.25 Cr,DC,🇦🇺 Australia,2023,Batter,Retention
Mohammed Shami,₹6.25 Cr,GT,🇮🇳 India,2023,Bowler,Retention
Ruturaj Gaikwad,₹6 Cr,CSK,🇮🇳 India,2023,Batter,Retention
Shivam Mavi,₹6 Cr,GT,🇮🇳 India,2023,Bowler,Retention
Sunil Narine,₹6 Cr,KKR,🇹🇹 West Indies (Trinidad),2023,All-rounder,Retention
Deepak Hooda,₹5.75 Cr,LSG,🇮🇳 India,2023,All-rounder,Retention
Jason Holder,₹5.75 Cr,RR,🇧🇧 West Indies (Barbados),2023,All-rounder,Auction
Mukesh Kumar,₹5.5 Cr,DC,🇮🇳 India,2023,Bowler,Auction
Dinesh Karthik,₹5.5 Cr,RCB,🇮🇳 India,2023,WK-Batter,Retention
Khaleel Ahmed,₹5.25 Cr,DC,🇮🇳 India,2023,Bowler,Retention
Rahul Chahar,₹5.25 Cr,PBKS,🇮🇳 India,2023,Bowler,Retention
Heinrich Klaasen,₹5.25 Cr,SRH,🇿🇦 South Africa,2023,WK-Batter,Auction
Ravichandran Ashwin,₹5 Cr,RR,🇮🇳 India,2023,All-rounder,Retention
Rilee Rossouw,₹4.6 Cr,DC,🌍 Overseas,2023,Batter,Auction
Josh Little,₹4.4 Cr,GT,🌍 Overseas,2023,Bowler,Auction
Chetan Sakariya,₹4.2 Cr,DC,🇮🇳 India,2023,Bowler,Retention
Marco Jansen,₹4.2 Cr,SRH,🇿🇦 South Africa,2023,Bowler,Retention
Bhuvneshwar Kumar,₹4.2 Cr,SRH,🇮🇳 India,2023,Bowler,Retention
Shivam Dube,₹4 Cr,CSK,🇮🇳 India,2023,All-rounder,Retention
Ravi Bishnoi,₹4 Cr,LSG,🇮🇳 India,2023,Bowler,Retention
Arshdeep Singh,₹4 Cr,PBKS,🇮🇳 India,2023,Bowler,Retention
Yashasvi Jaiswal,₹4 Cr,RR,🇮🇳 India,2023,Batter,Retention
Abdul Samad,₹4 Cr,SRH,🇮🇳 India,2023,All-rounder,Retention
Kartik Tyagi,₹4 Cr,SRH,🇮🇳 India,2023,Bowler,Retention
T Natarajan,₹4 Cr,SRH,🇮🇳 India,2023,Bowler,Retention
Umran Malik,₹4 Cr,SRH,🇮🇳 India,2023,Bowler,Retention
Harpreet Brar,₹3.8 Cr,PBKS,🇮🇳 India,2023,Bowler,Retention
Riyan Parag,₹3.8 Cr,RR,🇮🇳 India,2023,Batter,Retention
Anuj Rawat,₹3.4 Cr,RCB,🇮🇳 India,2023,WK-Batter,Retention
Yash Dayal,₹3.2 Cr,GT,🇮🇳 India,2023,Bowler,Retention
Will Jacks,₹3.2 Cr,RCB,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2023,All-rounder,Auction
David Miller,₹3 Cr,GT,🌍 Overseas,2023,Batter,Retention
Sai Kishore,₹3 Cr,GT,🇮🇳 India,2023,Bowler,Retention
Dewald Brevis,₹3 Cr,MI,🇿🇦 South Africa,2023,Batter,Retention
Rovman Powell,₹2.8 Cr,DC,🌍 Overseas,2023,Batter,Retention
Abhinav Manohar,₹2.6 Cr,GT,🇮🇳 India,2023,Batter,Retention
Navdeep Saini,₹2.6 Cr,RR,🇮🇳 India,2023,Bowler,Retention
Vivrant Sharma,₹2.6 Cr,SRH,🇮🇳 India,2023,Batter,Auction
Aiden Markram,₹2.6 Cr,SRH,🌍 Overseas,2023,Batter,Retention
Manish Pandey,₹2.4 Cr,DC,🇮🇳 India,2023,Batter,Retention
Alzarri Joseph,₹2.4 Cr,GT,🇦🇬 West Indies (Antigua),2023,Bowler,Retention
Matthew Wade,₹2.4 Cr,GT,🌍 Overseas,2023,WK-Batter,Retention
Shahbaz Ahmed,₹2.4 Cr,RCB,🇮🇳 India,2023,All-rounder,Retention
Kuldeep Yadav,₹2 Cr,DC,🇮🇳 India,2023,Bowler,Retention
Mustafizur Rahman,₹2 Cr,DC,🇧🇩 Bangladesh,2023,Bowler,Auction
Phil Salt,₹2 Cr,DC,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2023,WK-Batter,Auction
Kane Williamson,₹2 Cr,GT,🌍 Overseas,2023,Batter,Retention
Umesh Yadav,₹2 Cr,KKR,🇮🇳 India,2023,Bowler,Retention
Raj Bawa,₹2 Cr,PBKS,🇮🇳 India,2023,All-rounder,Retention
David Willey,₹2 Cr,RCB,🌍 Overseas,2023,All-rounder,Retention
Adil Rashid,₹2 Cr,SRH,🌍 Overseas,2023,Bowler,Auction
Mitchell Santner,₹1.9 Cr,CSK,🇳🇿 New Zealand,2023,All-rounder,Retention
Wriddhiman Saha,₹1.9 Cr,GT,🇮🇳 India,2023,WK-Batter,Retention
Reece Topley,₹1.9 Cr,RCB,🌍 Overseas,2023,Bowler,Retention
Mayank Dagar,₹1.8 Cr,SRH,🇮🇳 India,2023,All-rounder,Retention
Jayant Yadav,₹1.7 Cr,GT,🇮🇳 India,2023,All-rounder,Retention
Tilak Varma,₹1.7 Cr,MI,🇮🇳 India,2023,Batter,Retention
Rajvardhan Hangargekar,₹1.5 Cr,CSK,🇮🇳 India,2023,All-rounder,Retention
Shakib Al Hasan,₹1.5 Cr,KKR,🌍 Overseas,2023,All-rounder,Auction
Tim Southee,₹1.5 Cr,KKR,🌍 Overseas,2023,Bowler,Auction
Jhye Richardson,₹1.5 Cr,MI,🌍 Overseas,2023,Bowler,Auction
Adam Zampa,₹1.5 Cr,RR,🇦🇺 Australia,2023,Bowler,Retention
Glenn Phillips,₹1.5 Cr,SRH,🌍 Overseas,2023,All-rounder,Retention
Vijay Shankar,₹1.4 Cr,GT,🇮🇳 India,2023,All-rounder,Retention
Prashant Solanki,₹1.2 Cr,CSK,🇮🇳 India,2023,All-rounder,Retention
KS Bharat,₹1.2 Cr,GT,🇮🇳 India,2023,WK-Batter,Auction
Kamlesh Nagarkoti,₹1.1 Cr,DC,🇮🇳 India,2023,Bowler,Retention
Kyle Jamieson,₹1 Cr,CSK,🇳🇿 New Zealand,2023,All-rounder,Auction
Devon Conway,₹1 Cr,CSK,🇳🇿 New Zealand,2023,WK-Batter,Auction
David Wiese,₹1 Cr,KKR,🌍 Overseas,2023,All-rounder,Retention
Joe Root,₹1 Cr,RR,🌍 Overseas,2023,Batter,Auction
Akeal Hosein,₹1 Cr,SRH,🏝️ West Indies,2023,Bowler,Retention
Mahipal Lomror,₹95 Lakh,RCB,🇮🇳 India,2023,All-rounder,Retention
Narayan Jagadeesan,₹90 Lakh,KKR,🇮🇳 India,2023,WK-Batter,Auction
Krishnappa Gowtham,₹90 Lakh,LSG,🇮🇳 India,2023,All-rounder,Retention
Finn Allen,₹80 Lakh,RCB,🌍 Overseas,2023,WK-Batter,Auction
Daniel Sams,₹75 Lakh,LSG,🌍 Overseas,2023,All-rounder,Retention
Jason Behrendorff,₹75 Lakh,MI,🌍 Overseas,2023,Bowler,Retention
Nathan Ellis,₹75 Lakh,PBKS,🇦🇺 Australia,2023,Bowler,Retention
Siddharth Kaul,₹75 Lakh,RCB,🇮🇳 India,2023,Bowler,Retention
Obed McCoy,₹75 Lakh,RR,🌍 Overseas,2023,Bowler,Retention
Maheesh Theekshana,₹70 Lakh,CSK,🌍 Overseas,2023,Bowler,Retention
Rajan Kumar,₹70 Lakh,RCB,🇮🇳 India,2023,Bowler,Retention
Lalit Yadav,₹65 Lakh,DC,🇮🇳 India,2023,All-rounder,Retention
Nishant Sindhu,₹60 Lakh,CSK,🇮🇳 India,2023,All-rounder,Retention
Vaibhav Arora,₹60 Lakh,KKR,🇮🇳 India,2023,Bowler,Retention
Prabhsimran Singh,₹60 Lakh,PBKS,🇮🇳 India,2023,WK-Batter,Retention
Matthew Short,₹60 Lakh,PBKS,🇦🇺 Australia,2023,All-rounder,Retention
Avinash Singh,₹60 Lakh,RCB,🇮🇳 India,2023,Bowler,Retention
Rinku Singh,₹55 Lakh,KKR,🇮🇳 India,2023,Batter,Retention
Rishi Dhawan,₹55 Lakh,PBKS,🇮🇳 India,2023,All-rounder,Retention
Dwaine Pretorius,₹50 Lakh,CSK,🌍 Overseas,2023,All-rounder,Retention
Ajinkya Rahane,₹50 Lakh,CSK,🇮🇳 India,2023,Batter,Retention
Yash Dhull,₹50 Lakh,DC,🇮🇳 India,2023,Batter,Retention
Ishant Sharma,₹50 Lakh,DC,🇮🇳 India,2023,Bowler,Auction
Lungi Ngidi,₹50 Lakh,DC,🌍 Overseas,2023,Bowler,Auction
Praveen Dubey,₹50 Lakh,DC,🇮🇳 India,2023,All-rounder,Retention
Odean Smith,₹50 Lakh,GT,🌍 Overseas,2023,All-rounder,Retention
Mohit Sharma,₹50 Lakh,GT,🇮🇳 India,2023,Bowler,Retention
Mandeep Singh,₹50 Lakh,KKR,🇮🇳 India,2023,Batter,Retention
Litton Das,₹50 Lakh,KKR,🌍 Overseas,2023,WK-Batter,Auction
Rahmanullah Gurbaz,₹50 Lakh,KKR,🌍 Overseas,2023,WK-Batter,Retention
Kyle Mayers,₹50 Lakh,LSG,🌍 Overseas,2023,All-rounder,Retention
Romario Shepherd,₹50 Lakh,LSG,🌍 Overseas,2023,All-rounder,Retention
Jaydev Unadkat,₹50 Lakh,LSG,🇮🇳 India,2023,Bowler,Retention
Naveen Ul Haq,₹50 Lakh,LSG,🌍 Overseas,2023,Bowler,Retention
Amit Mishra,₹50 Lakh,LSG,🇮🇳 India,2023,Bowler,Retention
Piyush Chawla,₹50 Lakh,MI,🇮🇳 India,2023,Bowler,Auction
Sikandar Raza,₹50 Lakh,PBKS,🌍 Overseas,2023,All-rounder,Retention
Bhanuka Rajapaksa,₹50 Lakh,PBKS,🌍 Overseas,2023,Batter,Retention
Karn Sharma,₹50 Lakh,RCB,🇮🇳 India,2023,Bowler,Retention
Donovan Ferreira,₹50 Lakh,RR,🇿🇦 South Africa,2023,WK-Batter,Retention
Fazalhaq Farooqi,₹50 Lakh,SRH,🌍 Overseas,2023,Bowler,Retention
Mayank Markande,₹50 Lakh,SRH,🇮🇳 India,2023,Bowler,Retention
Yash Thakur,₹45 Lakh,LSG,🇮🇳 India,2023,Bowler,Retention
Harpreet Singh,₹40 Lakh,PBKS,🇮🇳 India,2023,Batter,Retention
Noor Ahmad,₹30 Lakh,GT,🇦🇫 Afghanistan,2023,Bowler,Auction
Arjun Tendulkar,₹30 Lakh,MI,🇮🇳 India,2023,All-rounder,Retention
Suyash Prabhudessai,₹30 Lakh,RCB,🇮🇳 India,2023,Batter,Retention
KM Asif,₹30 Lakh,RR,🇮🇳 India,2023,Bowler,Retention
KC Cariappa,₹30 Lakh,RR,🇮🇳 India,2023,Bowler,Retention
Upendra Yadav,₹25 Lakh,SRH,🇮🇳 India,2023,WK-Batter,Retention
Ajay Jadav Mandal,₹20 Lakh,CSK,🇮🇳 India,2023,All-rounder,Retention
Bhagath Varma,₹20 Lakh,CSK,🇮🇳 India,2023,Batter,Retention
Shaik Rasheed,₹20 Lakh,CSK,🇮🇳 India,2023,Batter,Auction
Subhranshu Senapati,₹20 Lakh,CSK,🇮🇳 India,2023,Batter,Retention
Matheesha Pathirana,₹20 Lakh,CSK,🇱🇰 Sri Lanka,2023,Bowler,Auction
Mukesh Choudhary,₹20 Lakh,CSK,🇮🇳 India,2023,Bowler,Retention
Simarjeet Singh,₹20 Lakh,CSK,🇮🇳 India,2023,Bowler,Retention
Tushar Deshpande,₹20 Lakh,CSK,🇮🇳 India,2023,Bowler,Retention
Sarfaraz Khan,₹20 Lakh,DC,🇮🇳 India,2023,Batter,Auction
Aman Khan,₹20 Lakh,DC,🇮🇳 India,2023,All-rounder,Retention
Sai Sudharsan,₹20 Lakh,GT,🇮🇳 India,2023,Batter,Retention
Darshan Nalkande,₹20 Lakh,GT,🇮🇳 India,2023,Bowler,Retention
Urvil Patel,₹20 Lakh,GT,🇮🇳 India,2023,WK-Batter,Retention
Harshit Rana,₹20 Lakh,KKR,🇮🇳 India,2023,Bowler,Retention
Anukul Roy,₹20 Lakh,KKR,🇮🇳 India,2023,All-rounder,Retention
Kulwant Khejroliya,₹20 Lakh,KKR,🇮🇳 India,2023,Bowler,Retention
Suyash Sharma,₹20 Lakh,KKR,🇮🇳 India,2023,Bowler,Retention
Ramandeep Singh,₹20 Lakh,KKR,🇮🇳 India,2023,All-rounder,Retention
Karan Sharma,₹20 Lakh,LSG,🇮🇳 India,2023,All-rounder,Retention
Prerak Mankad,₹20 Lakh,LSG,🇮🇳 India,2023,All-rounder,Retention
Swapnil Singh,₹20 Lakh,LSG,🇮🇳 India,2023,All-rounder,Retention
Yudhvir Charak,₹20 Lakh,LSG,🇮🇳 India,2023,Bowler,Retention
Ayush Badoni,₹20 Lakh,LSG,🇮🇳 India,2023,Batter,Retention
Manan Vohra,₹20 Lakh,LSG,🇮🇳 India,2023,Batter,Retention
Mayank Yadav,₹20 Lakh,LSG,🇮🇳 India,2023,Bowler,Retention
Mohsin Khan,₹20 Lakh,LSG,🇮🇳 India,2023,Bowler,Retention
Arshad Khan,₹20 Lakh,MI,🇮🇳 India,2023,All-rounder,Retention
Duan Jansen,₹20 Lakh,MI,🌍 Overseas,2023,Bowler,Retention
Hrithik Shokeen,₹20 Lakh,MI,🇮🇳 India,2023,Bowler,Retention
Nehal Wadhera,₹20 Lakh,MI,🇮🇳 India,2023,Batter,Retention
Shams Mulani,₹20 Lakh,MI,🇮🇳 India,2023,Bowler,Retention
Akash Madhwal,₹20 Lakh,MI,🇮🇳 India,2023,Bowler,Retention
Kumar Kartikeya,₹20 Lakh,MI,🇮🇳 India,2023,Bowler,Retention
Raghav Goyal,₹20 Lakh,MI,🇮🇳 India,2023,Bowler,Retention
Tristan Stubbs,₹20 Lakh,MI,🇿🇦 South Africa,2023,WK-Batter,Retention
Vishnu Vinod,₹20 Lakh,MI,🇮🇳 India,2023,WK-Batter,Retention
Naman Dhir,₹20 Lakh,MI,🇮🇳 India,2023,All-rounder,Retention
Mohit Rathee,₹20 Lakh,PBKS,🇮🇳 India,2023,Bowler,Retention
Atharva Taide,₹20 Lakh,PBKS,🇮🇳 India,2023,Batter,Retention
Shivam Singh,₹20 Lakh,PBKS,🇮🇳 India,2023,All-rounder,Retention
Baltej Singh,₹20 Lakh,PBKS,🇮🇳 India,2023,Bowler,Retention
Vidwath Kaverappa,₹20 Lakh,PBKS,🇮🇳 India,2023,Bowler,Retention
Jitesh Sharma,₹20 Lakh,PBKS,🇮🇳 India,2023,WK-Batter,Retention
Shashank Singh,₹20 Lakh,PBKS,🇮🇳 India,2023,All-rounder,Retention
Manoj Bhandage,₹20 Lakh,RCB,🇮🇳 India,2023,All-rounder,Retention
Rajat Patidar,₹20 Lakh,RCB,🇮🇳 India,2023,Batter,Retention
Akash Deep,₹20 Lakh,RCB,🇮🇳 India,2023,Bowler,Retention
Abdul Basith,₹20 Lakh,RR,🇮🇳 India,2023,Bowler,Retention
Kunal Singh Rathore,₹20 Lakh,RR,🇮🇳 India,2023,WK-Batter,Retention
Kuldeep Sen,₹20 Lakh,RR,🇮🇳 India,2023,Bowler,Retention
Dhruv Jurel,₹20 Lakh,RR,🇮🇳 India,2023,WK-Batter,Retention
Samarth Vyas,₹20 Lakh,SRH,🇮🇳 India,2023,Batter,Retention
Sanvir Singh,₹20 Lakh,SRH,🇮🇳 India,2023,All-rounder,Retention
Anmolpreet Singh,₹20 Lakh,SRH,🇮🇳 India,2023,Batter,Retention
Nitish Kumar Reddy,₹20 Lakh,SRH,🇮🇳 India,2023,All-rounder,Auction
₹24.75 Cr,Mitchell Starc,KKR,🇦🇺 Australia,2024,Bowler,Auction
₹20.5 Cr,Pat Cummins,SRH,🇦🇺 Australia,2024,All-rounder,Auction
₹18.5 Cr,Sam Curran,PBKS,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2024,All-rounder,Retention
₹17.5 Cr,Cameron Green,RCB,🇦🇺 Australia,2024,All-rounder,Auction
₹17 Cr,KL Rahul,LSG,🇮🇳 India,2024,WK-Batter,Retention
₹16 Cr,Ravindra Jadeja,CSK,🇮🇳 India,2024,All-rounder,Retention
₹16 Cr,Rishabh Pant,DC,🇮🇳 India,2024,WK-Batter,Retention
₹16 Cr,Nicholas Pooran,LSG,🇹🇹 West Indies (Trinidad),2024,WK-Batter,Retention
₹16 Cr,Rohit Sharma,MI,🇮🇳 India,2024,Batter,Retention
₹15.25 Cr,Ishan Kishan,MI,🇮🇳 India,2024,WK-Batter,Retention
₹15 Cr,Rashid Khan,GT,🇦🇫 Afghanistan,2024,Bowler,Retention
₹15 Cr,Hardik Pandya,MI,🇮🇳 India,2024,All-rounder,Trade
₹15 Cr,Virat Kohli,RCB,🇮🇳 India,2024,Batter,Retention
₹14 Cr,Deepak Chahar,CSK,🇮🇳 India,2024,Bowler,Retention
₹14 Cr,Daryl Mitchell,CSK,🌍 Overseas,2024,All-rounder,Auction
₹14 Cr,Sanju Samson,RR,🇮🇳 India,2024,WK-Batter,Retention
₹13.25 Cr,Phil Salt,KKR,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2024,WK-Batter,Auction
₹13 Cr,Rinku Singh,KKR,🇮🇳 India,2024,Batter,Retention
₹12.25 Cr,Shreyas Iyer,KKR,🇮🇳 India,2024,Batter,Retention
₹12 Cr,MS Dhoni,CSK,🇮🇳 India,2024,WK-Batter,Retention
₹12 Cr,Varun Chakravarthy,KKR,🇮🇳 India,2024,Bowler,Retention
₹12 Cr,Andre Russell,KKR,🇯🇲 West Indies (Jamaica),2024,All-rounder,Retention
₹12 Cr,Jasprit Bumrah,MI,🇮🇳 India,2024,Bowler,Retention
₹11.75 Cr,Harshal Patel,PBKS,🇮🇳 India,2024,Bowler,Auction
₹11.5 Cr,Liam Livingstone,PBKS,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2024,All-rounder,Retention
₹11.5 Cr,Alzarri Joseph,RCB,🇦🇬 West Indies (Antigua),2024,Bowler,Auction
₹11 Cr,Glenn Maxwell,RCB,🇦🇺 Australia,2024,All-rounder,Retention
₹10 Cr,Spencer Johnson,GT,🌍 Overseas,2024,Bowler,Auction
₹10 Cr,Avesh Khan,RR,🇮🇳 India,2024,Bowler,Retention
₹10 Cr,Jos Buttler,RR,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2024,WK-Batter,Retention
₹10 Cr,Prasidh Krishna,RR,🇮🇳 India,2024,Bowler,Retention
₹9.25 Cr,Kagiso Rabada,PBKS,🇿🇦 South Africa,2024,Bowler,Retention
₹9.2 Cr,Marcus Stoinis,LSG,🇦🇺 Australia,2024,All-rounder,Retention
₹9 Cr,Axar Patel,DC,🇮🇳 India,2024,All-rounder,Retention
₹9 Cr,Rahul Tewatia,GT,🇮🇳 India,2024,All-rounder,Retention
₹8.75 Cr,Washington Sundar,SRH,🇮🇳 India,2024,All-rounder,Retention
₹8.5 Cr,Shimron Hetmyer,RR,🇬🇾 West Indies (Guyana),2024,Batter,Retention
₹8.5 Cr,Rahul Tripathi,SRH,🇮🇳 India,2024,Batter,Retention
₹8.4 Cr,Sameer Rizvi,CSK,🇮🇳 India,2024,Batter,Auction
₹8.25 Cr,Krunal Pandya,LSG,🇮🇳 India,2024,All-rounder,Retention
₹8.25 Cr,Tim David,MI,🇸🇬 Singapore,2024,Batter,Retention
₹8.25 Cr,Shikhar Dhawan,PBKS,🇮🇳 India,2024,Batter,Retention
₹8.25 Cr,Mayank Agarwal,SRH,🇮🇳 India,2024,Batter,Retention
₹8 Cr,Moeen Ali,CSK,🌍 Overseas,2024,All-rounder,Retention
₹8 Cr,Shubman Gill,GT,🇮🇳 India,2024,Batter,Retention
₹8 Cr,Venkatesh Iyer,KKR,🇮🇳 India,2024,All-rounder,Retention
₹8 Cr,Nitish Rana,KKR,🇮🇳 India,2024,Batter,Retention
₹8 Cr,Suryakumar Yadav,MI,🇮🇳 India,2024,Batter,Retention
₹8 Cr,Rilee Rossouw,PBKS,🌍 Overseas,2024,Batter,Retention
₹8 Cr,Trent Boult,RR,🇳🇿 New Zealand,2024,Bowler,Auction
₹7.75 Cr,Devdutt Padikkal,LSG,🇮🇳 India,2024,Batter,Retention
₹7.5 Cr,Prithvi Shaw,DC,🇮🇳 India,2024,Batter,Retention
₹7.5 Cr,Mark Wood,LSG,🌍 Overseas,2024,Bowler,Auction
₹7.4 Cr,M Shahrukh Khan,GT,🇮🇳 India,2024,Batter,Retention
₹7.4 Cr,Shardul Thakur,KKR,🇮🇳 India,2024,All-rounder,Auction
₹7.4 Cr,Rovman Powell,RR,🌍 Overseas,2024,Batter,Retention
₹7.2 Cr,Kumar Kushagra,DC,🇮🇳 India,2024,WK-Batter,Retention
₹7 Cr,Faf du Plessis,RCB,🇿🇦 South Africa,2024,Batter,Retention
₹7 Cr,Mohammed Siraj,RCB,🇮🇳 India,2024,Bowler,Retention
₹6.8 Cr,Travis Head,SRH,🇦🇺 Australia,2024,Batter,Auction
₹6.75 Cr,Quinton de Kock,LSG,🌍 Overseas,2024,WK-Batter,Retention
₹6.75 Cr,Jonny Bairstow,PBKS,🌍 Overseas,2024,WK-Batter,Retention
₹6.5 Cr,Anrich Nortje,DC,🇿🇦 South Africa,2024,Bowler,Retention
₹6.5 Cr,Mitchell Marsh,DC,🇦🇺 Australia,2024,All-rounder,Retention
₹6.5 Cr,Yuzvendra Chahal,RR,🇮🇳 India,2024,Bowler,Retention
₹6.5 Cr,Abhishek Sharma,SRH,🇮🇳 India,2024,Batter,Retention
₹6.4 Cr,Shivam Mavi,LSG,🇮🇳 India,2024,Bowler,Auction
₹6.25 Cr,David Warner,DC,🇦🇺 Australia,2024,Batter,Retention
₹6.25 Cr,Mohammed Shami,GT,🇮🇳 India,2024,Bowler,Retention
₹6 Cr,Ruturaj Gaikwad,CSK,🇮🇳 India,2024,Batter,Retention
₹6 Cr,Sunil Narine,KKR,🇹🇹 West Indies (Trinidad),2024,All-rounder,Retention
₹5.8 Cr,Umesh Yadav,GT,🇮🇳 India,2024,Bowler,Retention
₹5.8 Cr,Shubham Dubey,RR,🇮🇳 India,2024,All-rounder,Retention
